 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 411 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 412 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 413 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 414 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 415 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 416 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 417 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 418 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 419 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 420 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 421 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 422 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 426 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 427 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 428 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 429 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 430 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 431 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 432 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.339554, time_gap_set = 300, time_left = 0.000000, ontime = 433 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 436 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 437 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.646580, time_gap_set = 300, time_left = 0.000000, ontime = 438 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 439 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 440 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 441 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 442 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 443 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 444 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 445 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 446 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 447 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 448 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 449 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 450 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 451 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.953606, time_gap_set = 300, time_left = 0.000000, ontime = 452 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.690441, time_gap_set = 300, time_left = 0.000000, ontime = 453 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 454 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 455 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 456 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 457 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 458 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 459 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 460 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 461 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 462 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.383415, time_gap_set = 300, time_left = 0.000000, ontime = 463 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 464 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 465 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 466 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 467 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 468 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 469 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 470 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 471 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 472 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 473 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 474 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 475 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 476 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 477 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 478 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 479 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 480 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 481 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 482 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 483 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 484 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 485 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 486 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 487 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 488 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 489 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 490 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 491 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 492 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 493 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 494 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 495 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 496 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.514999, time_gap_set = 300, time_left = 0.000000, ontime = 497 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 498 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 499 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 500 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 501 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 502 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.383415, time_gap_set = 300, time_left = 0.000000, ontime = 503 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 504 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 505 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 506 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 507 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 508 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.558857, time_gap_set = 300, time_left = 0.000000, ontime = 509 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 510 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 511 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 512 
